Var1,group1,group2,specimen,subgroup2,group3,subgroup1,group_position,vcount,ecount,tract_count,suffix,file,label_lookup_path,label_path,stat_path,stat_path_erode,scale,total_brain_vol_withoutVS
28,Tg,DSI-Studio-v20221012,N59128NLSAM,BXD77,old,F,1,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\nii4D_N59128NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59128NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\labels\RCCF\N59128NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59128NLSAMdsi_studio\labels\RCCF\N59128NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59128NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59128NLSAM_RCCF_erode1_stats_with_ontology.csv,2.80513000488281,488.0926
21,nTg,DSI-Studio-v20221012,N59130NLSAM,BXD77,old,F,1,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\nii4D_N59130NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59130NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\labels\RCCF\N59130NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59130NLSAMdsi_studio\labels\RCCF\N59130NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59130NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59130NLSAM_RCCF_erode1_stats_with_ontology.csv,2.87717175483704,500.6279
22,nTg,DSI-Studio-v20221012,N59132NLSAM,BXD77,old,M,2,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\nii4D_N59132NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59132NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\labels\RCCF\N59132NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59132NLSAMdsi_studio\labels\RCCF\N59132NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59132NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59132NLSAM_RCCF_erode1_stats_with_ontology.csv,2.90055680274963,504.6969
29,Tg,DSI-Studio-v20221012,N59134NLSAM,BXD77,old,M,2,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\nii4D_N59134NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N59134NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_erode1_stats_with_ontology.csv,2.79670834541321,486.6272
30,Tg,DSI-Studio-v20221012,N60076NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\nii4D_N60076NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60076NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_erode1_stats_with_ontology.csv,2.83194541931152,492.7585
31,Tg,DSI-Studio-v20221012,N60145NLSAM,BXD77,old,M,4,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\nii4D_N60145NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60145NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_erode1_stats_with_ontology.csv,2.67218899726868,464.9609
32,Tg,DSI-Studio-v20221012,N60149NLSAM,BXD77,old,F,5,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\nii4D_N60149NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60149NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_erode1_stats_with_ontology.csv,2.73984527587891,476.7331
33,Tg,DSI-Studio-v20221012,N60151NLSAM,BXD77,old,M,6,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\nii4D_N60151NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60151NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69557785987854,469.0305
34,Tg,DSI-Studio-v20221012,N60153NLSAM,BXD77,old,F,7,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\nii4D_N60153NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60153NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_erode1_stats_with_ontology.csv,2.77009224891663,481.9961
23,nTg,DSI-Studio-v20221012,N60155NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\nii4D_N60155NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60155NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69708895683289,469.2935
24,nTg,DSI-Studio-v20221012,N60165NLSAM,BXD77,old,M,4,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60165NLSAMdsi_studio\nii4D_N60165NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60165NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60165NLSAMdsi_studio\labels\RCCF\N60165NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60165NLSAMdsi_studio\labels\RCCF\N60165NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60165NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60165NLSAM_RCCF_erode1_stats_with_ontology.csv,2.74735021591187,478.0389
25,nTg,DSI-Studio-v20221012,N60171NLSAM,BXD77,old,M,5,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60171NLSAMdsi_studio\nii4D_N60171NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60171NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60171NLSAMdsi_studio\labels\RCCF\N60171NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60171NLSAMdsi_studio\labels\RCCF\N60171NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60171NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60171NLSAM_RCCF_erode1_stats_with_ontology.csv,2.7224223613739,473.7015
26,nTg,DSI-Studio-v20221012,N60206NLSAM,BXD77,old,M,6,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60206NLSAMdsi_studio\nii4D_N60206NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60206NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60206NLSAMdsi_studio\labels\RCCF\N60206NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60206NLSAMdsi_studio\labels\RCCF\N60206NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60206NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60206NLSAM_RCCF_erode1_stats_with_ontology.csv,2.75439882278442,479.2654
35,Tg,DSI-Studio-v20221012,N60208NLSAM,BXD77,old,F,8,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60208NLSAMdsi_studio\nii4D_N60208NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60208NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60208NLSAMdsi_studio\labels\RCCF\N60208NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60208NLSAMdsi_studio\labels\RCCF\N60208NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60208NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60208NLSAM_RCCF_erode1_stats_with_ontology.csv,2.71020436286926,471.5756
36,Tg,DSI-Studio-v20221012,N60213NLSAM,BXD77,old,M,9,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60213NLSAMdsi_studio\nii4D_N60213NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60213NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60213NLSAMdsi_studio\labels\RCCF\N60213NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60213NLSAMdsi_studio\labels\RCCF\N60213NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60213NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60213NLSAM_RCCF_erode1_stats_with_ontology.csv,2.63382697105408,458.2859
27,nTg,DSI-Studio-v20221012,N60215NLSAM,BXD77,old,M,7,360,129600,2000000,RCCF,A:\20.5xfad.01\research\connectomeN60215NLSAMdsi_studio\nii4D_N60215NLSAM.src.gqi.0.9.fib.gz.2000K.trk.gz.N60215NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60215NLSAMdsi_studio\labels\RCCF\N60215NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60215NLSAMdsi_studio\labels\RCCF\N60215NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60215NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60215NLSAM_RCCF_erode1_stats_with_ontology.csv,2.62603306770325,456.9297
